brand,category,name,volume,price,highMockupPrice,imglink
Knorr,çorba ve bulyonlar,Tabletbulyontavuk,240 g,8.55₺,9.55₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06051309/06051309-fb247d.JPG
G.C. Gıda,çorba,Tarhanası,250 g,5.50₺,7.5₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05022101/trakya-ciftligi-trakya-ev-tarhanasi-250-gr-9e71d3.jpg
Knorr,çorba ve bulyonlar,Tavukbulyon,12'li 120 g,4.25₺,8.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06051317/06051317-c4fd77.JPG
Knorr,çorba,Ezogelinçorbası,74 g,3.25₺,7.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020052/05020052-a61f72.png
Knorr,çorba,Kremalımantarçorbası,63 g,3.25₺,5.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020100/05020100-69ba6b.png
Knorr,çorba,Kremalıdomatesçorbası,69 g,3.25₺,7.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025370/05025370-b8f2e6.png
Knorr,çorba ve bulyonlar,Etsuyubulyon,24'lü,8.55₺,13.55₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06052129/06052129-59a64d.JPG
Fide,çorba ve bulyonlar,Iliklikemiksuyu,480 ml,7.95₺,9.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020312/05020312-54297d.jpg
Knorr,çorba,Yaylaçorbası,72 g,3.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020051/05020051-8c0049.png
Knorr,çorba,Çabukçorbakremalı,22 g,1.75₺,2.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020134/knorr-cabuk-corba-kremali-mantar-22-gr-6a771f.jpg
Zel,çorba ve bulyonlar,Iliklikemiksuyu,480 ml,13.75₺,15.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025361/zel-ilikli-kemik-suyu-480-ml-7e9cad.jpg
Fide,çorba ve bulyonlar,Paça+Iliklikemiksuyu,480 ml,7.95₺,11.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020314/05020314-c4ae7b.jpg
Knorr,çorba,Karabuğdaylıyoğurtçorbası,98 g,4.95₺,5.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020072/05020072-59050e.jpg
Knorr,çorba ve bulyonlar,Etsuyubulyon,12'li 120 g,4.25₺,9.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06051316/06051316-76d356.JPG
Knorr,çorba,Mercimekçorbası,76 g,3.25₺,5.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020110/05020110-1d10fe.png
Knorr,çorba,Maşfasulyelitutmaç,124 g,4.95₺,8.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020071/05020071-067459.jpg
Knorr,çorba,Düğünçorbası,72 g,3.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025141/05025141-b96f1f.png
Knorr,çorba,Kremalısebzeçorbası,65 g,3.25₺,5.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020103/05020103-270281.png
Bizim,çorba,Mutfakişkembeçorbası,70 g,3.10₺,5.1₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025060/05025060-99dc0c.jpg
Bizim,çorba,Mutfakmantarçorbası,65 g,3.10₺,8.1₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025023/05025023-7a3f07.jpg
Knorr,çorba,Çabukçorbaezogelin,22 g,1.75₺,2.75₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05025143/05025143-fdef1e.JPG
Knorr,çorba,Tarhanaçorbası,74 g,3.25₺,6.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020108/05020108-17e939.png
Bizim,çorba ve bulyonlar,Mutfakkemiksuyu,120 g,5.25₺,9.25₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/06050014/06050014-74f6e2.jpg
Knorr,çorba,Firikbulgurluezogelin,98 g,4.95₺,6.95₺,https://migros-dali-storage-prod.global.ssl.fastly.net/sanalmarket/product/05020074/05020074-0c1117.JPG
